"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 26 21:15:15 CST 2022","Tue Jul 26 21:15:27 CST 2022","11608","package_pytest","test_operate_app","TestH7131","","","test_low[42-500]",""
"passed","Tue Jul 26 20:53:49 CST 2022","Tue Jul 26 20:53:53 CST 2022","3738","package_pytest","test_operate_app","TestH7131","","","test_off_light[31-500]",""
"passed","Tue Jul 26 21:12:04 CST 2022","Tue Jul 26 21:12:07 CST 2022","3437","package_pytest","test_operate_app","TestH7131","","","test_off_light[40-500]",""
"passed","Tue Jul 26 20:50:24 CST 2022","Tue Jul 26 20:50:29 CST 2022","5173","package_pytest","test_operate_app","TestH7131","","","test_out_app_home[29-500]",""
"passed","Tue Jul 26 20:00:52 CST 2022","Tue Jul 26 20:01:02 CST 2022","9541","package_pytest","test_operate_app","TestH7131","","","test_on[5-500]",""
"passed","Tue Jul 26 20:55:25 CST 2022","Tue Jul 26 20:55:29 CST 2022","4290","package_pytest","test_operate_app","TestH7131","","","test_fan[32-500]",""
"passed","Tue Jul 26 21:01:40 CST 2022","Tue Jul 26 21:01:46 CST 2022","6452","package_pytest","test_operate_app","TestH7131","","","test_off_head[35-500]",""
"passed","Tue Jul 26 20:07:28 CST 2022","Tue Jul 26 20:07:32 CST 2022","4839","package_pytest","test_operate_app","TestH7131","","","test_fan[8-500]",""
"passed","Tue Jul 26 20:58:25 CST 2022","Tue Jul 26 20:58:30 CST 2022","5164","package_pytest","test_operate_app","TestH7131","","","test_out_app_home[33-500]",""
"passed","Tue Jul 26 20:39:24 CST 2022","Tue Jul 26 20:39:30 CST 2022","6295","package_pytest","test_operate_app","TestH7131","","","test_high[24-500]",""
"passed","Tue Jul 26 20:43:26 CST 2022","Tue Jul 26 20:43:30 CST 2022","3700","package_pytest","test_operate_app","TestH7131","","","test_auto[26-500]",""
"passed","Tue Jul 26 20:16:57 CST 2022","Tue Jul 26 20:17:08 CST 2022","11192","package_pytest","test_operate_app","TestH7131","","","test_low[13-500]",""
"passed","Tue Jul 26 19:55:17 CST 2022","Tue Jul 26 19:55:25 CST 2022","7108","package_pytest","test_operate_app","TestH7131","","","test_high[2-500]",""
"passed","Tue Jul 26 21:09:16 CST 2022","Tue Jul 26 21:09:24 CST 2022","7894","package_pytest","test_operate_app","TestH7131","","","test_medium[39-500]",""
"passed","Tue Jul 26 20:38:03 CST 2022","Tue Jul 26 20:38:14 CST 2022","10676","package_pytest","test_operate_app","TestH7131","","","test_lock[23-500]",""
"passed","Tue Jul 26 21:08:15 CST 2022","Tue Jul 26 21:08:22 CST 2022","6881","package_pytest","test_operate_app","TestH7131","","","test_show[38-500]",""
"passed","Tue Jul 26 20:55:48 CST 2022","Tue Jul 26 20:55:51 CST 2022","3331","package_pytest","test_operate_app","TestH7131","","","test_off_light[32-500]",""
"passed","Tue Jul 26 20:09:28 CST 2022","Tue Jul 26 20:09:33 CST 2022","4680","package_pytest","test_operate_app","TestH7131","","","test_fan[9-500]",""
"passed","Tue Jul 26 21:03:17 CST 2022","Tue Jul 26 21:03:23 CST 2022","6023","package_pytest","test_operate_app","TestH7131","","","test_high[36-500]",""
"passed","Tue Jul 26 19:54:59 CST 2022","Tue Jul 26 19:55:10 CST 2022","11357","package_pytest","test_operate_app","TestH7131","","","test_low[2-500]",""
